Z_eff_max,Z_eff_ave
2.0973105,1.7763944
2.2998865,1.7176161
2.1875393,1.5975366
2.032806,1.5601606
2.4502351,1.7103231
2.818945,2.0812309
2.488821,1.9437588
2.1371632,1.7194122
2.9156046,2.24645
2.4578354,2.0648303
2.477908,2.1037316
2.06613,1.6541772
