z_eff_0,z_eff_1,z_eff_2,z_eff_3,z_eff_4,z_eff_5,z_eff_6,z_eff_7,z_eff_8,z_eff_9,z_eff_10,z_eff_11,z_eff_12,z_eff_13,z_eff_14,z_eff_15,z_eff_16,z_eff_17,z_eff_18,z_eff_19,z_eff_20,z_eff_21,z_eff_22,z_eff_23,z_eff_24,z_eff_25,z_eff_26,z_eff_27,z_eff_28,z_eff_29,z_eff_30,z_eff_31,z_eff_32,z_eff_33,z_eff_34,z_eff_35,z_eff_36,z_eff_37,z_eff_38,z_eff_39,z_eff_40
9.954452,9.91825,9.816899,9.6613,9.462379,9.231106,8.978482,8.715333,8.450239,8.190431,7.943095,7.714746,7.506389,7.3162255,7.1423955,6.982487,6.833369,6.6918554,6.555004,6.420215,6.2831907,6.1430182,5.999313,5.8510447,5.697915,5.5397654,5.376659,5.205618,5.027252,4.845065,4.6593137,4.4704843,4.2572517,4.0406866,3.8188481,3.5322242,3.188962,2.858921,2.1856496,1.3746443,1.0246366
10.965936,10.936753,10.857596,10.741066,10.599784,10.446393,10.293547,10.153024,10.027415,9.913801,9.809185,9.7104645,9.613601,9.514096,9.407519,9.291013,9.163769,9.025118,8.874709,8.712633,8.536408,8.347675,8.14813,7.9383354,7.719111,7.4911995,7.2554045,7.007722,6.749342,6.4855127,6.2166805,5.9435706,5.6352067,5.322179,5.001644,4.587637,4.092147,3.6160257,2.6557295,1.5107256,1.0259526
11.520331,11.492828,11.413695,11.2880125,11.120881,10.917441,10.682871,10.422419,10.141624,9.846206,9.541903,9.234216,8.92654,8.621178,8.320373,8.025962,7.739228,7.461331,7.1930027,6.9343753,6.6835103,6.441162,6.20758,5.982064,5.7638497,5.5520377,5.3457713,5.140994,4.9372473,4.7368455,4.53894,4.343012,4.127923,3.913093,3.6961062,3.4201305,3.0923793,2.7784278,2.1386557,1.3650339,1.0265064
12.5581,12.477468,12.254002,11.915388,11.489381,11.003813,10.486583,9.964946,9.458904,8.984072,8.555928,8.188075,7.878909,7.619124,7.3993516,7.21074,7.045116,6.894409,6.7520328,6.6135097,6.472567,6.3275876,6.1782045,6.023337,5.862806,5.6966257,5.525015,5.344707,5.156471,4.9642735,4.768435,4.5695148,4.3441544,4.115557,3.8818104,3.5786934,3.215327,2.8679874,2.17434,1.3565489,1.0246454
14.046441,13.951913,13.700734,13.341552,12.923074,12.494058,12.10326,11.795251,11.571039,11.405534,11.273317,11.150578,11.026628,10.897429,10.759059,10.609053,10.446832,10.271945,10.08429,9.884249,9.669073,9.440811,9.201418,8.951471,8.69184,8.423303,8.146701,7.85714,7.555913,7.249141,6.9372597,6.6210384,6.264081,5.9022756,5.5323873,5.0543594,4.482366,3.9343107,2.842241,1.5554448,1.0275427
10.612956,10.580045,10.488075,10.347211,10.167645,9.959603,9.73334,9.498923,9.264177,9.035568,8.819525,8.621736,8.441868,8.27653,8.12231,7.9758143,7.833678,7.6925535,7.5496907,7.4031835,7.248773,7.0866075,6.9173384,6.740637,6.556747,6.365974,6.168769,5.9613547,5.744686,5.523437,5.297995,5.0690174,4.8093,4.545898,4.2766304,3.927089,3.5080078,3.10798,2.3162787,1.3912821,1.0246463
10.462076,10.4565935,10.440155,10.412781,10.374492,10.325318,10.265301,10.194524,10.113429,10.022679,9.922952,9.814887,9.698733,9.574534,9.442338,9.302101,9.15365,8.996787,8.831355,8.657239,8.471463,8.275466,8.070644,7.8571625,7.6355176,7.4061556,7.1696334,6.921487,6.6627746,6.39889,6.130207,5.857426,5.5485277,5.2351956,4.9147115,4.4993343,4.0016537,3.5255818,2.5803428,1.4716307,1.0246639
13.119669,13.104162,13.059179,12.98703,12.890041,12.77056,12.63096,12.473701,12.301893,12.1190405,11.928659,11.734051,11.536636,11.336884,11.135223,10.931557,10.725078,10.514902,10.300093,10.0796175,9.848959,9.6091,9.361062,9.104411,8.839288,8.565844,8.284447,7.989529,7.6822,7.3688545,7.049875,6.7260585,6.3590765,5.9868445,5.606144,5.112371,4.520707,3.9552088,2.8397694,1.5400305,1.0247018
10.893913,10.889084,10.875034,10.85242,10.821898,10.784135,10.739798,10.689494,10.633106,10.570084,10.499885,10.421922,10.335121,10.238169,10.12977,10.0089855,9.875318,9.7283,9.56773,9.393773,9.203484,8.998828,8.781794,8.553007,8.313411,8.06387,7.805324,7.5331206,7.2486577,6.958036,6.661808,6.3608418,6.019952,5.674071,5.3202195,4.8617787,4.3126054,3.787032,2.7437878,1.5199362,1.0251384
9.613623,9.611237,9.6035795,9.589905,9.569469,9.541535,9.505372,9.46028,9.405778,9.341518,9.267173,9.182441,9.087162,8.981249,8.864624,8.737329,8.599543,8.451438,8.293296,8.12554,7.94619,7.7569513,7.559456,7.3542643,7.142134,6.9237313,6.699753,6.4665184,6.2250586,5.9800377,5.731772,5.4808097,5.199182,4.9143963,4.6239214,4.250367,3.804111,3.3758452,2.5101194,1.4731727,1.0288353
14.207917,14.167058,14.049305,13.861916,13.612187,13.307476,12.955199,12.563058,12.14106,11.700593,11.253066,10.809398,10.376426,9.958869,9.561306,9.186456,8.834596,8.505722,8.198866,7.9116807,7.639402,7.3805933,7.1334777,6.8953414,6.6640286,6.4374623,6.213951,5.988308,5.7597957,5.5314374,5.3024693,5.0726323,4.8160086,4.5570755,4.293184,3.9538536,3.5485852,3.1595879,2.3721635,1.4293467,1.0269917
12.255928,12.241717,12.199546,12.130109,12.034119,11.912308,11.765439,11.594399,11.40107,11.187937,10.957521,10.712346,10.454766,10.187038,9.9114,9.629914,9.344402,9.056595,8.768,8.479806,8.19046,7.9022064,7.6168222,7.334804,7.0565677,6.782328,6.512229,6.2419543,5.9719596,5.706196,5.4442916,5.1860566,4.90422,4.624768,4.345337,3.9929516,3.5760782,3.1800606,2.3902357,1.4461373,1.0415424
12.035468,11.973215,11.80049,11.538373,11.207994,10.830545,10.427269,10.018914,9.620638,9.244217,8.901327,8.602218,8.345528,8.1240225,7.9304223,7.7578917,7.600178,7.4511065,7.305664,7.1604815,7.0102234,6.8540235,6.691963,6.5233164,6.348113,6.1665125,5.978851,5.781683,5.5758624,5.365644,5.1513705,4.933638,4.68726,4.4371943,4.1812673,3.8498936,3.452866,3.072385,2.3080103,1.401016,1.0246447
11.332243,11.280711,11.135058,10.908722,10.615187,10.267995,9.8807535,9.467135,9.0409775,8.616194,8.206665,7.8252273,7.4762607,7.1598253,6.875843,6.622536,6.395909,6.191786,6.005976,5.8342686,5.670895,5.5134087,5.3600354,5.2084928,5.0575,4.9060316,4.75341,4.5964518,4.4352236,4.272499,4.1082206,3.9425902,3.7567506,3.5690932,3.3779826,3.1316783,2.8371987,2.5557199,1.9879185,1.3110344,1.0287982
10.835637,10.738356,10.475953,10.092633,9.632673,9.140411,8.660222,8.233744,7.8739862,7.5767756,7.3376517,7.151362,7.006257,6.887485,6.780358,6.6752295,6.5690365,6.4591866,6.3439417,6.2227707,6.0937414,5.9576097,5.815437,5.6676188,5.5146832,5.35709,5.195332,5.02695,4.8526583,4.6756606,4.4961934,4.314657,4.1114483,3.9058056,3.6958895,3.4266524,3.105202,2.7957861,2.1579883,1.3808839,1.0354173
12.129344,12.093795,11.992056,11.831509,11.619571,11.363703,11.071421,10.750422,10.409815,10.059547,9.709574,9.369285,9.043465,8.734525,8.44476,8.174881,7.923523,7.6891117,7.4695525,7.2620053,7.061649,6.8668833,6.676201,6.487369,6.2989283,6.1095734,5.9183736,5.721304,5.5182815,5.3125486,5.1039095,4.8925457,4.6550045,4.41396,4.1670394,3.8489406,3.468421,3.1013925,2.3468254,1.4304533,1.0246482
10.403149,10.349258,10.202212,9.983965,9.7165165,9.421908,9.122212,8.838447,8.580451,8.351344,8.154116,7.9908195,7.8559165,7.740039,7.633885,7.5305867,7.4264565,7.3180556,7.202949,7.0801225,6.9468694,6.80383,6.6520767,6.4919076,6.3239255,6.1487036,5.966877,5.775577,5.575735,5.371274,5.1625633,4.9501824,4.7107854,4.4673905,4.2177014,3.895899,3.5108352,3.1390567,2.3728638,1.4402618,1.0246365
11.099033,11.000614,10.734942,10.346443,9.879609,9.378998,8.889201,8.45208,8.080932,7.7719,7.52085,7.3228683,7.1667714,7.0382357,6.9230924,6.811956,6.701682,6.5895743,6.473677,6.3530807,6.225243,6.0906625,5.9501443,5.803755,5.6517878,5.494501,5.3322434,5.162183,4.985008,4.8041997,4.620005,4.43289,4.2217216,4.00734,3.7878113,3.504225,3.1646345,2.8381875,2.1723702,1.3704753,1.0246602
11.179963,11.170347,11.141679,11.094234,11.028299,10.944175,10.842182,10.7227335,10.586975,10.436499,10.2729225,10.097856,9.912704,9.718766,9.5173235,9.309511,9.096248,8.878391,8.656657,8.43155,8.200684,7.9658337,7.7284727,7.4887824,7.2470345,7.0033755,6.7579837,6.506195,6.2486143,5.9898934,5.7299337,5.4689593,5.176767,4.882641,4.583894,4.199077,3.7396047,3.3017588,2.4379182,1.4288274,1.0269382
11.043596,11.018933,10.948543,10.837833,10.692232,10.517197,10.318215,10.100741,9.86949,9.628735,9.382757,9.1356125,8.889388,8.645154,8.403938,8.166579,7.933651,7.705647,7.4827514,7.2647114,7.049268,6.836941,6.6279283,6.42154,6.217201,6.0142574,5.812161,5.607033,5.398779,5.190326,4.981215,4.771326,4.5378337,4.302293,4.062181,3.7546012,3.387753,3.0342438,2.3065813,1.4205306,1.0251427
8.824912,8.799681,8.727041,8.611592,8.457956,8.27079,8.054787,7.8148084,7.557104,7.288752,7.01684,6.7481422,6.486835,6.2357492,5.9976273,5.774056,5.5651064,5.37068,5.190093,5.021831,4.8630986,4.7128577,4.5699005,4.432534,4.299421,4.169279,4.0410666,3.9118664,3.7811987,3.6506813,3.5198605,3.3885822,3.2423246,3.0947783,2.9444544,2.751377,2.5206678,2.2989302,1.8389714,1.2759848,1.0254697
15.199108,15.177819,15.117184,15.022055,14.897302,14.747808,14.578484,14.394146,14.198449,13.994352,13.784822,13.572511,13.357282,13.137582,12.911859,12.678818,12.437479,12.18686,11.926308,11.655633,11.370461,11.073043,10.76563,10.448627,10.122814,9.788862,9.447529,9.092354,8.724735,8.352126,7.9748526,7.593668,7.163696,6.7290616,6.285934,5.712781,5.0271783,4.373144,3.0918157,1.6070588,1.0261548
11.26509,11.225697,11.114752,10.943124,10.721717,10.461477,10.173392,9.868415,9.55676,9.248178,8.95239,8.678263,8.427689,8.199012,7.9904985,7.799513,7.622238,7.454777,7.293551,7.135433,6.975078,6.8114705,6.6442256,6.4721065,6.2947297,6.11188,5.9235983,5.726117,5.5201488,5.309993,5.0959425,4.878575,4.632192,4.382299,4.1268077,3.7953176,3.3979156,3.0183074,2.2640395,1.3792287,1.0246419
10.070777,10.029004,9.911557,9.730264,9.496987,9.223635,8.922161,8.604452,8.28126,7.962643,7.658628,7.3783865,7.1241555,6.894635,6.6884336,6.50321,6.3353906,6.1813016,6.0374227,5.9004517,5.7655606,5.6311135,5.49606,5.3588104,5.218625,5.0749593,4.9275537,4.7735415,4.6132965,4.449855,4.283371,4.1142354,3.9233234,3.7294943,3.5310206,3.274564,2.9673839,2.6721575,2.068453,1.3397682,1.0246367
9.053518,8.992743,8.825314,8.573604,8.260032,7.90707,7.53723,7.1723204,6.8265004,6.509316,6.2301974,5.9972105,5.807334,5.651938,5.522387,5.4112697,5.312781,5.2212706,5.132329,5.0433154,4.9505982,4.853369,4.7516665,4.6451035,4.533799,4.4179583,4.2978845,4.1716595,4.0398684,3.9050846,3.7675588,3.6276855,3.4700797,3.309954,3.1458635,2.9342773,2.6809192,2.4366684,1.9283863,1.3047647,1.0246365
